ID,evalid,plt_cn,lat,lon,fia_landuse,fia_lu_abbr,spcd,common_name,scientific_name,count_sapling,count_tree,biomass_sapling,biomass_tree,carbon_sapling,carbon_tree,basalarea_sapling_sqft,basalarea_tree_sqft,basalarea_sapling_sfpa,basalarea_tree_sfpa
1,Austin2017Curr,2.51083E+14,30.294066,-97.909314,1,Forest,61,Ashe juniper,Juniperus ashei ,4,29,58.69212756,2870.638764,29.34606378,1435.319382,0.15903864,15.21049698,11.92237657,91.53747485
2,Austin2017Curr,2.51083E+14,30.294066,-97.909314,1,Forest,838,live oak,Quercus virginiana ,0,2,0,1812.796656,0,906.3983281,0,2.1251511,0,12.78925768
3,Austin2017Curr,2.51083E+14,30.207024,-97.870694,300,Developed,681,white mulberry,Morus alba ,0,3,0,241.0559448,0,120.5279724,0,0.52036614,0,3.131587516
4,Austin2017Curr,2.51083E+14,30.377155,-97.64189,300,Developed,461,sugarberry,Celtis laevigata ,0,4,0,981.3136818,0,490.6568409,0,2.60090352,0,15.65235777
5,Austin2017Curr,2.51083E+14,30.377155,-97.64189,300,Developed,756,honey mesquite ,Prosopis glandulosa ,0,1,0,152.5030621,0,76.25153104,0,0.34038414,0,2.048447509
6,Austin2017Curr,2.51083E+14,30.386504,-97.696075,300,Developed,68,eastern redcedar,Juniperus virginiana ,0,2,0,1000.961529,0,500.4807647,0,1.70175708,0,10.24125287
7,Austin2017Curr,2.51083E+14,30.386504,-97.696075,300,Developed,7575,Chinese privet,Ligustrum sinense ,0,3,0,305.4434646,0,152.7217323,0,1.11627018,0,6.717765611
9,Austin2017Curr,2.51083E+14,30.309006,-97.714306,300,Developed,404,pecan,Carya illinoinensis ,0,1,0,2625.189707,0,1312.594854,0,3.65859774,0,22.01761054
11,Austin2017Curr,2.51083E+14,30.211186,-97.624509,1,Forest,313,boxelder,Acer negundo ,1,20,11.40941117,7046.296768,5.704705583,3523.148384,0.021816,11.84085216,1.82731017,107.9678733
12,Austin2017Curr,2.51083E+14,30.211186,-97.624509,1,Forest,544,green ash,Fraxinus pennsylvanica ,0,12,0,4659.461396,0,2329.730698,0,5.62890978,0,51.32581757
13,Austin2017Curr,2.51083E+14,30.211186,-97.624509,1,Forest,602,black walnut,Juglans nigra ,0,1,0,155.7845105,0,77.89225525,0,0.2304315,0,2.101132474
14,Austin2017Curr,2.51083E+14,30.211186,-97.624509,1,Forest,682,red mulberry,Morus rubra ,0,1,0,331.8122714,0,165.9061357,0,0.4922235,0,4.488217888
16,Austin2017Curr,2.51083E+14,30.43573,-97.717363,300,Developed,760,cherry and plum spp.,Prunus spp. ,0,1,0,86.17486266,0,43.08743133,0,0.25219296,0,1.517708906
17,Austin2017Curr,2.51083E+14,30.43573,-97.717363,300,Developed,838,live oak,Quercus virginiana ,0,13,0,38412.29796,0,19206.14898,0,47.67935886,0,286.9365885
18,Austin2017Curr,2.51083E+14,30.43573,-97.717363,300,Developed,973,cedar elm,Ulmus crassifolia ,0,2,0,6224.024873,0,3112.012436,0,7.34348376,0,44.19342517
19,Austin2017Curr,2.51083E+14,30.351815,-97.729351,300,Developed,5491,Berlandier ash,Fraxinus berlandieriana ,2,0,13.64122761,0,6.820613807,0,0.0373599,0,2.800695456,0
20,Austin2017Curr,2.51083E+14,30.351815,-97.729351,300,Developed,8513,Buckley oak,Quercus buckleyi ,0,3,0,241.2919761,0,120.6459881,0,0.59344974,0,3.571408004
21,Austin2017Curr,2.51083E+14,30.231916,-97.78377,300,Developed,7151,edible fig,Ficus carica ,0,5,0,327.4095558,0,163.7047779,0,1.09156356,0,6.569080028
22,Austin2017Curr,2.51083E+14,30.231916,-97.78377,300,Developed,7532,crapemyrtle,Lagerstroemia indica ,0,1,0,83.91191263,0,41.95595631,0,0.3940515,0,2.371420166
23,Austin2017Curr,2.51083E+14,30.231916,-97.78377,300,Developed,838,live oak,Quercus virginiana ,0,6,0,9060.645646,0,4530.322823,0,11.8556325,0,71.34774513
24,Austin2017Curr,2.51083E+14,30.231916,-97.78377,300,Developed,973,cedar elm,Ulmus crassifolia ,0,1,0,1330.010665,0,665.0053326,0,1.90720926,0,11.4776736
27,Austin2017Curr,2.51083E+14,30.444605,-97.76463,300,Developed,838,live oak,Quercus virginiana ,0,5,0,2693.495296,0,1346.747648,0,3.88592046,0,23.38564919
28,Austin2017Curr,2.51083E+14,30.444605,-97.76463,300,Developed,973,cedar elm,Ulmus crassifolia ,0,3,0,1635.672095,0,817.8360476,0,2.09891736,0,12.63138182
29,Austin2017Curr,2.51083E+14,30.343005,-97.679875,300,Developed,838,live oak,Quercus virginiana ,0,3,0,1073.101804,0,536.5509021,0,1.9048095,0,11.46323174
31,Austin2017Curr,2.51083E+14,30.411849,-97.85587,1,Forest,61,Ashe juniper,Juniperus ashei ,5,21,108.8411003,2448.647651,54.42055016,1224.323825,0.28246266,8.6006853,21.17489309,51.75932222
32,Austin2017Curr,2.51083E+14,30.411849,-97.85587,1,Forest,8513,Buckley oak,Quercus buckleyi ,0,3,0,249.1934146,0,124.5967073,0,0.477225,0,2.871962139
33,Austin2017Curr,2.51083E+14,30.411849,-97.85587,1,Forest,838,live oak,Quercus virginiana ,4,7,108.5922098,1220.180861,54.29610488,610.0904305,0.18423612,1.71686466,13.81131277,10.33217099
34,Austin2017Curr,2.51083E+14,30.339833,-97.925261,1,Forest,61,Ashe juniper,Juniperus ashei ,4,39,79.81192705,6558.006415,39.90596353,3279.003208,0.20714292,23.03622342,15.52852751,138.6330588
35,Austin2017Curr,2.51083E+14,30.339833,-97.925261,1,Forest,838,live oak,Quercus virginiana ,0,2,0,782.7215318,0,391.3607659,0,1.3365027,0,8.04313511
36,Austin2017Curr,2.51083E+14,30.29025,-97.608423,1,Forest,462,hackberry,Celtis occidentalis ,0,2,0,517.5728911,0,258.7864456,0,0.918999,0,10.8442716
37,Austin2017Curr,2.51083E+14,30.29025,-97.608423,1,Forest,994,Chinese tallowtree,Triadica sebifera ,0,1,0,165.4989753,0,82.74948766,0,0.34038414,0,4.016563744
39,Austin2017Curr,2.51083E+14,30.250229,-97.889199,1,Forest,61,Ashe juniper,Juniperus ashei ,1,22,15.20093549,1895.621772,7.600467743,947.8108861,0.03686904,10.50134976,2.763897997,63.19760892
41,Austin2017Curr,2.51083E+14,30.368593,-97.842255,1,Forest,61,Ashe juniper,Juniperus ashei ,1,20,46.11259741,7109.539489,23.05629871,3554.769744,0.13095054,14.29237062,9.816744218,86.01214792
42,Austin2017Curr,2.51083E+14,30.368593,-97.842255,1,Forest,8513,Buckley oak,Quercus buckleyi ,0,20,0,4283.94022,0,2141.97011,0,5.9042277,0,35.53191558
43,Austin2017Curr,2.51083E+14,30.246131,-97.791339,1,Forest,61,Ashe juniper,Juniperus ashei ,3,55,44.96015193,7015.052877,22.48007596,3507.526438,0.11049804,28.37350782,8.283516779,170.7530833
45,Austin2017Curr,2.51083E+14,30.180723,-97.921615,300,Developed,838,live oak,Quercus virginiana ,0,4,0,4829.02152,0,2414.51076,0,7.31757726,0,44.03751865
46,Austin2017Curr,2.51083E+14,30.180723,-97.921615,300,Developed,973,cedar elm,Ulmus crassifolia ,0,3,0,1428.76556,0,714.3827798,0,2.1862359,0,13.15686884
49,Austin2017Curr,2.51083E+14,30.31164,-97.673352,300,Developed,973,cedar elm,Ulmus crassifolia ,0,13,0,14357.66384,0,7178.831922,0,13.82741712,0,83.21403624
