scientific_name,evalid,status
Juniperus ashei,Austin2017Curr,NA
Quercus virginiana,Austin2017Curr,NA
Morus alba,Austin2017Curr,NA
Celtis laevigata,Austin2017Curr,NA
Prosopis glandulosa,Austin2017Curr,NA
Juniperus virginiana,Austin2017Curr,NA
Ligustrum sinense,Austin2017Curr,NA
Carya illinoinensis,Austin2017Curr,NA
Acer negundo,Austin2017Curr,NA
Fraxinus pennsylvanica,Austin2017Curr,NA
Juglans nigra,Austin2017Curr,NA
Morus rubra,Austin2017Curr,NA
Prunus spp.,Austin2017Curr,NA
Ulmus crassifolia,Austin2017Curr,NA
Fraxinus berlandieriana,Austin2017Curr,NA
Quercus buckleyi,Austin2017Curr,NA
Ficus carica,Austin2017Curr,NA
Lagerstroemia indica,Austin2017Curr,NA
Celtis occidentalis,Austin2017Curr,NA
Triadica sebifera,Austin2017Curr,NA
Ligustrum japonicum,Austin2017Curr,NA
Quercus nigra,Austin2017Curr,NA
Quercus shumardii,Austin2017Curr,NA
Sophora secundiflora,Austin2017Curr,NA
Sideroxylon lanuginosum,Austin2017Curr,NA
Diospyros texana,Austin2017Curr,NA
Fraxinus velutina,Austin2017Curr,NA
Ilex vomitoria,Austin2017Curr,NA
Acacia farnesiana,Austin2017Curr,NA
Quercus texana,Austin2017Curr,NA
Fraxinus texensis,Austin2017Curr,NA
Quercus sinuata,Austin2017Curr,NA
Ligustrum lucidum,Austin2017Curr,NA
Koelreuteria paniculata,Austin2017Curr,NA
Melia azedarach,Austin2017Curr,NA
Quercus muehlenbergii,Austin2017Curr,NA
Cercis canadensis,Austin2017Curr,NA
Eriobotrya japonica,Austin2017Curr,NA
Platanus occidentalis,Austin2017Curr,NA
Quercus polymorpha,Austin2017Curr,NA
Rhus lanceolata,Austin2017Curr,NA
Betula nigra,Austin2017Curr,NA
Sapindus saponaria drummondii,Austin2017Curr,NA
Prunus laurocerasus,Austin2017Curr,NA
Ulmus parvifolia,Austin2017Curr,NA
Ulmus rubra,Austin2017Curr,NA
Magnolia grandiflora,Austin2017Curr,NA
Quercus macrocarpa,Austin2017Curr,NA
Thrinax radiata,Austin2017Curr,NA
Broussonetia papyrifera,Austin2017Curr,NA
Populus deltoides,Austin2017Curr,NA
Ulmus americana,Austin2017Curr,NA
Albizia julibrissin,Austin2017Curr,NA
Pistacia chinensis,Austin2017Curr,NA
Quercus stellata,Austin2017Curr,NA
Taxodium distichum,Austin2017Curr,NA
Parkinsonia aculeata,Austin2017Curr,NA
Quercus sinuata sinuata,Austin2017Curr,NA
Viburnum rufidulum,Austin2017Curr,NA
Arbutus xalapensis,Austin2017Curr,NA
Quercus fusiformis,Austin2017Curr,NA
Pyrus calleryana,Austin2017Curr,NA
Prunus persica,Austin2017Curr,NA
Quercus virginiana,Houston2017Curr,NA
Carya illinoinensis,Houston2017Curr,NA
Fraxinus pennsylvanica,Houston2017Curr,NA
Pinus taeda,Houston2017Curr,NA
Quercus nigra,Houston2017Curr,NA
Celtis occidentalis,Houston2017Curr,NA
Juniperus pinchotii,Houston2017Curr,NA
